1	7.94	111	M	67
2	8.292	107	M	43
3	4.643	100	M	52
4	7.47	107	M	66
5	8.882	114	F	58
6	7.585	115	M	51
7	7.65	111	M	71
8	2.412	97	M	51
9	6	100	F	49
10	8.833	112	M	51
11	7.47	104	F	35
12	5.528	89	F	54
13	7.167	104	M	54
14	7.571	102	F	64
15	4.7	91	F	56
16	8.167	114	F	69
17	7.822	114	F	55
18	7.598	103	F	65
19	4	106	M	40
20	6.231	105	F	66
21	7.643	113	M	55
22	1.76	109	M	20
24	6.419	108	F	56
26	9.648	113	M	68
27	10.7	130	F	69
28	10.58	128	M	70
29	9.429	128	M	80
30	8	118	M	53
31	9.585	113	M	65
32	9.571	120	F	67
33	8.998	132	F	62
34	8.333	111	F	39
35	8.175	124	M	71
36	8	127	M	59
37	9.333	128	F	60
38	9.5	136	M	64
39	9.167	106	M	71
40	10.14	118	F	72
41	9.999	119	F	54
43	10.76	123	M	64
44	9.763	124	M	58
45	9.41	126	M	70
46	9.167	116	M	72
47	9.348	127	M	70
48	8.167	119	M	47
50	3.647	97	M	52
51	3.408	86	F	46
52	3.936	102	M	66
53	7.167	110	M	67
54	7.647	120	M	63
55	0.53	103	M	53
56	6.173	115	M	67
57	7.295	93	F	61
58	7.295	72	F	54
59	8.938	111	F	60
60	7.882	103	F	60
61	8.353	123	M	63
62	5.062	79	M	30
63	8.175	119	M	54
64	8.235	110	M	66
65	7.588	110	M	44
68	7.647	107	M	49
69	5.237	74	F	44
71	7.825	105	M	67
72	7.333	112	F	64
74	9.167	105	M	73
76	7.996	110	M	59
77	8.714	107	F	37
78	7.833	103	F	63
79	4.885	77	M	36
80	7.998	98	F	64
83	3.82	90	M	42
84	5.936	96	F	28
85	9	112	F	60
86	9.5	112	F	70
87	6.057	114	M	51
88	6.057	93	F	21
89	6.938	106	M	56
