date,store_id,product_id,sales
2022-01-01,1,1,712.05
2022-01-02,1,1,798.06
2022-01-03,1,1,482.66
2022-01-04,1,1,483.14
2022-01-05,1,1,619.95
2022-01-06,1,1,559.48
2022-01-07,1,1,466.86
2022-01-08,1,1,706.73
2022-01-09,1,1,608.71
2022-01-10,1,1,468.53
2022-01-11,1,1,522.52
2022-01-12,1,1,359.87
2022-01-13,1,1,374.5
2022-01-14,1,1,463.06
2022-01-15,1,1,558.1
2022-01-16,1,1,689.78
2022-01-17,1,1,438.13
2022-01-18,1,1,400.16
2022-01-19,1,1,619.94
2022-01-20,1,1,491.48
2022-01-21,1,1,514.37
2022-01-22,1,1,521.01
2022-01-23,1,1,609.11
2022-01-24,1,1,519.21
2022-01-25,1,1,422.95
2022-01-26,1,1,540.54
2022-01-27,1,1,466.06
2022-01-28,1,1,490.27
2022-01-29,1,1,606.95
2022-01-30,1,1,853.36
2022-01-31,1,1,513.16
2022-02-01,1,1,461.86
2022-02-02,1,1,617.29
2022-02-03,1,1,449.3
2022-02-04,1,1,567.8
2022-02-05,1,1,505.82
2022-02-06,1,1,574.24
2022-02-07,1,1,568.46
2022-02-08,1,1,613.9
2022-02-09,1,1,567.44
2022-02-10,1,1,544.14
2022-02-11,1,1,529.25
2022-02-12,1,1,561.3
2022-02-13,1,1,644.0
2022-02-14,1,1,517.47
2022-02-15,1,1,644.64
2022-02-16,1,1,585.65
2022-02-17,1,1,410.05
2022-02-18,1,1,585.13
2022-02-19,1,1,684.16
2022-02-20,1,1,653.0
2022-02-21,1,1,610.95
2022-02-22,1,1,646.76
2022-02-23,1,1,638.99
2022-02-24,1,1,490.56
2022-02-25,1,1,535.68
2022-02-26,1,1,767.27
2022-02-27,1,1,838.7
2022-02-28,1,1,522.84
2022-03-01,1,1,560.68
2022-03-02,1,1,481.49
2022-03-03,1,1,474.15
2022-03-04,1,1,648.87
2022-03-05,1,1,905.7
2022-03-06,1,1,745.17
2022-03-07,1,1,667.32
2022-03-08,1,1,612.05
2022-03-09,1,1,524.87
2022-03-10,1,1,613.18
2022-03-11,1,1,716.5
2022-03-12,1,1,753.48
2022-03-13,1,1,936.22
2022-03-14,1,1,354.4
2022-03-15,1,1,656.41
2022-03-16,1,1,592.55
2022-03-17,1,1,559.2
2022-03-18,1,1,594.07
2022-03-19,1,1,535.18
2022-03-20,1,1,738.07
2022-03-21,1,1,619.11
2022-03-22,1,1,718.57
2022-03-23,1,1,542.96
2022-03-24,1,1,517.81
2022-03-25,1,1,545.42
2022-03-26,1,1,872.85
2022-03-27,1,1,806.05
2022-03-28,1,1,544.45
2022-03-29,1,1,637.57
2022-03-30,1,1,601.17
2022-03-31,1,1,679.25
2022-04-01,1,1,519.25
2022-04-02,1,1,718.06
2022-04-03,1,1,711.41
2022-04-04,1,1,454.21
2022-04-05,1,1,608.37
2022-04-06,1,1,605.86
2022-04-07,1,1,584.01
2022-04-08,1,1,563.54
2022-04-09,1,1,598.66
2022-04-10,1,1,712.71
2022-04-11,1,1,555.59
2022-04-12,1,1,515.68
2022-04-13,1,1,572.56
2022-04-14,1,1,622.89
2022-04-15,1,1,754.14
2022-04-16,1,1,784.89
2022-04-17,1,1,795.13
2022-04-18,1,1,582.84
2022-04-19,1,1,420.16
2022-04-20,1,1,588.14
2022-04-21,1,1,596.36
2022-04-22,1,1,810.12
2022-04-23,1,1,747.5
2022-04-24,1,1,805.25
2022-04-25,1,1,590.06
2022-04-26,1,1,489.61
2022-04-27,1,1,696.08
2022-04-28,1,1,661.83
2022-04-29,1,1,665.91
2022-04-30,1,1,668.9
2022-05-01,1,1,879.82
2022-05-02,1,1,441.95
2022-05-03,1,1,609.44
2022-05-04,1,1,744.84
2022-05-05,1,1,477.76
2022-05-06,1,1,513.92
2022-05-07,1,1,741.69
2022-05-08,1,1,676.18
2022-05-09,1,1,432.14
2022-05-10,1,1,569.42
2022-05-11,1,1,474.24
2022-05-12,1,1,604.74
2022-05-13,1,1,487.19
2022-05-14,1,1,906.26
2022-05-15,1,1,649.49
2022-05-16,1,1,539.25
2022-05-17,1,1,636.33
2022-05-18,1,1,462.82
