date,store_id,category,sales,is_holiday,holiday_name,days_to_holiday,days_from_holiday
2021-01-01,1,Elektronika,1050.91,1,Nowy Rok,5,0
2021-01-01,1,Komputery,952.92,1,Nowy Rok,5,0
2021-01-01,1,Smartfony,1371.18,1,Nowy Rok,5,0
2021-01-01,1,AGD,698.8,1,Nowy Rok,5,0
2021-01-01,1,RTV,824.56,1,Nowy Rok,5,0
2021-01-01,1,Moda_Damska,295.09,1,Nowy Rok,5,0
2021-01-01,1,Moda_Meska,402.35,1,Nowy Rok,5,0
2021-01-01,1,Obuwie,208.88,1,Nowy Rok,5,0
2021-01-01,1,Sport,239.65,1,Nowy Rok,5,0
2021-01-01,1,Ksiazki,219.95,1,Nowy Rok,5,0
2021-01-01,1,Muzyka,145.72,1,Nowy Rok,5,0
2021-01-01,1,Filmy,119.02,1,Nowy Rok,5,0
2021-01-01,1,Gry,590.49,1,Nowy Rok,5,0
2021-01-01,1,Zabawki,395.81,1,Nowy Rok,5,0
2021-01-01,1,Dom_i_Ogrod,180.47,1,Nowy Rok,5,0
2021-01-01,1,Zdrowie,392.64,1,Nowy Rok,5,0
2021-01-01,1,Uroda,296.97,1,Nowy Rok,5,0
2021-01-01,1,Motoryzacja,255.19,1,Nowy Rok,5,0
2021-01-01,1,Artykuly_Spozywcze,560.33,1,Nowy Rok,5,0
2021-01-01,1,Zwierzeta,226.07,1,Nowy Rok,5,0
2021-01-01,2,Elektronika,969.98,1,Nowy Rok,5,0
2021-01-01,2,Komputery,698.76,1,Nowy Rok,5,0
2021-01-01,2,Smartfony,1553.35,1,Nowy Rok,5,0
2021-01-01,2,AGD,866.72,1,Nowy Rok,5,0
2021-01-01,2,RTV,856.75,1,Nowy Rok,5,0
2021-01-01,2,Moda_Damska,511.2,1,Nowy Rok,5,0
2021-01-01,2,Moda_Meska,448.87,1,Nowy Rok,5,0
2021-01-01,2,Obuwie,277.93,1,Nowy Rok,5,0
2021-01-01,2,Sport,225.06,1,Nowy Rok,5,0
2021-01-01,2,Ksiazki,187.65,1,Nowy Rok,5,0
2021-01-01,2,Muzyka,139.01,1,Nowy Rok,5,0
2021-01-01,2,Filmy,164.97,1,Nowy Rok,5,0
2021-01-01,2,Gry,573.46,1,Nowy Rok,5,0
2021-01-01,2,Zabawki,407.61,1,Nowy Rok,5,0
2021-01-01,2,Dom_i_Ogrod,144.86,1,Nowy Rok,5,0
2021-01-01,2,Zdrowie,451.54,1,Nowy Rok,5,0
